Trace1,,
Freq,,Amp
800000000,Hz,-53.46
800333333,Hz,-52.63
800666666,Hz,-52.97
800999999,Hz,-55.48
801333332,Hz,-61.98
801666665,Hz,-64.81
801999998,Hz,-65.64
802333331,Hz,-65.9
802666664,Hz,-64.83
802999997,Hz,-65.13
803333330,Hz,-65.57
803666663,Hz,-65.47
803999996,Hz,-64.64
804333329,Hz,-61.51
804666662,Hz,-54.62
804999995,Hz,-52.11
805333328,Hz,-51.27
805666661,Hz,-51.81
805999994,Hz,-53.96
806333327,Hz,-62.39
806666660,Hz,-65.21
806999993,Hz,-65.53
807333326,Hz,-65.24
807666659,Hz,-64.71
807999992,Hz,-65.35
808333325,Hz,-65.22
808666658,Hz,-65.16
808999991,Hz,-65.34
809333324,Hz,-60.81
809666657,Hz,-54.21
809999990,Hz,-51.72
810333323,Hz,-51.31
810666656,Hz,-52
810999989,Hz,-53.93
811333322,Hz,-62.14
811666655,Hz,-65.92
811999988,Hz,-64.31
812333321,Hz,-65.13
812666654,Hz,-65.37
812999987,Hz,-64.96
813333320,Hz,-65.12
813666653,Hz,-65.11
813999986,Hz,-65.7
814333319,Hz,-61.18
814666652,Hz,-54.21
814999985,Hz,-51.66
815333318,Hz,-51.08
815666651,Hz,-51.65
815999984,Hz,-54.33
816333317,Hz,-61.72
816666650,Hz,-65.28
816999983,Hz,-66.19
817333316,Hz,-65.44
817666649,Hz,-65.24
817999982,Hz,-64.37
818333315,Hz,-65.2
818666648,Hz,-65.21
818999981,Hz,-64.89
819333314,Hz,-59.8
819666647,Hz,-55.82
819999980,Hz,-52.71
820333313,Hz,-52.25
820666646,Hz,-52.79
820999979,Hz,-55.66
821333312,Hz,-62.65
821666645,Hz,-64.49
821999978,Hz,-64.98
822333311,Hz,-64.01
822666644,Hz,-64.64
822999977,Hz,-64.8
823333310,Hz,-65.36
823666643,Hz,-64.98
823999976,Hz,-65.51
824333309,Hz,-63.35
824666642,Hz,-56.69
824999975,Hz,-53.94
825333308,Hz,-53.49
825666641,Hz,-53.63
825999974,Hz,-55.98
826333307,Hz,-64.06
826666640,Hz,-65.29
826999973,Hz,-64.96
827333306,Hz,-66.16
827666639,Hz,-65.96
827999972,Hz,-65.78
828333305,Hz,-65.41
828666638,Hz,-65.23
828999971,Hz,-66.25
829333304,Hz,-63.05
829666637,Hz,-56.24
829999970,Hz,-53.78
830333303,Hz,-54.01
830666636,Hz,-54.24
830999969,Hz,-56.75
831333302,Hz,-65.5
831666635,Hz,-64.33
831999968,Hz,-64.68
832333301,Hz,-64.28
832666634,Hz,-65.42
