Trace1,,
Freq,,Amp
800000000,Hz,-52.22
800333333,Hz,-51.85
800666666,Hz,-52.73
800999999,Hz,-54.83
801333332,Hz,-61.16
801666665,Hz,-65.02
801999998,Hz,-64.51
802333331,Hz,-65.73
802666664,Hz,-65.47
802999997,Hz,-65.3
803333330,Hz,-64.37
803666663,Hz,-65.06
803999996,Hz,-65.01
804333329,Hz,-63.14
804666662,Hz,-56.75
804999995,Hz,-53.79
805333328,Hz,-53.2
805666661,Hz,-53.55
805999994,Hz,-55.82
806333327,Hz,-64.07
806666660,Hz,-64.21
806999993,Hz,-64.63
807333326,Hz,-64.98
807666659,Hz,-64.63
807999992,Hz,-64.08
808333325,Hz,-64.93
808666658,Hz,-64.18
808999991,Hz,-65.5
809333324,Hz,-64.59
809666657,Hz,-57.97
809999990,Hz,-54.59
810333323,Hz,-54.55
810666656,Hz,-55.01
810999989,Hz,-57.66
811333322,Hz,-63.22
811666655,Hz,-64.5
811999988,Hz,-65.18
812333321,Hz,-65.04
812666654,Hz,-65.65
812999987,Hz,-65.36
813333320,Hz,-65.41
813666653,Hz,-64.6
813999986,Hz,-64.5
814333319,Hz,-61.18
814666652,Hz,-54.38
814999985,Hz,-50.87
815333318,Hz,-50.54
815666651,Hz,-50.9
815999984,Hz,-54.42
816333317,Hz,-62.94
816666650,Hz,-65.53
816999983,Hz,-65.55
817333316,Hz,-65.31
817666649,Hz,-65.93
817999982,Hz,-64.62
818333315,Hz,-65.28
818666648,Hz,-65.46
818999981,Hz,-65.47
819333314,Hz,-60.19
819666647,Hz,-51.92
819999980,Hz,-48.39
820333313,Hz,-48.05
820666646,Hz,-48.59
820999979,Hz,-51.27
821333312,Hz,-62.19
821666645,Hz,-65.43
821999978,Hz,-65.75
822333311,Hz,-65.67
822666644,Hz,-65.19
822999977,Hz,-65.12
823333310,Hz,-65.68
823666643,Hz,-65.65
823999976,Hz,-65.84
824333309,Hz,-59.08
824666642,Hz,-50.82
824999975,Hz,-46.55
825333308,Hz,-46.33
825666641,Hz,-47.24
825999974,Hz,-49.2
826333307,Hz,-59.65
826666640,Hz,-65.5
826999973,Hz,-65.34
827333306,Hz,-64.32
827666639,Hz,-65.76
827999972,Hz,-65.59
828333305,Hz,-65.41
828666638,Hz,-65.72
828999971,Hz,-64.12
829333304,Hz,-58.27
829666637,Hz,-49.92
829999970,Hz,-46.78
830333303,Hz,-46.55
830666636,Hz,-46.98
830999969,Hz,-49.45
831333302,Hz,-60.84
831666635,Hz,-65.07
831999968,Hz,-63.89
832333301,Hz,-64.86
832666634,Hz,-64.44
832999967,Hz,-65.7
833333300,Hz,-66.09
833666633,Hz,-65.22
833999966,Hz,-65.54
834333299,Hz,-55.84
834666632,Hz,-50.19
834999965,Hz,-46.11
835333298,Hz,-46.11
835666631,Hz,-46.66
835999964,Hz,-49.34
836333297,Hz,-59.03
836666630,Hz,-63.27
836999963,Hz,-65.38
837333296,Hz,-65.17
837666629,Hz,-64.78
837999962,Hz,-65.69
838333295,Hz,-64.12
838666628,Hz,-64.71
838999961,Hz,-65.61
839333294,Hz,-57.91
839666627,Hz,-49.85
839999960,Hz,-47.25
840333293,Hz,-47.04
840666626,Hz,-47.98
840999959,Hz,-49.86
841333292,Hz,-60.31
841666625,Hz,-65.13
841999958,Hz,-64.76
842333291,Hz,-64.75
842666624,Hz,-64
842999957,Hz,-63.91
843333290,Hz,-64.27
843666623,Hz,-65.27
843999956,Hz,-65.21
844333289,Hz,-58.4
844666622,Hz,-51.76
844999955,Hz,-48.14
845333288,Hz,-47.77
845666621,Hz,-48.29
845999954,Hz,-50.46
846333287,Hz,-60.28
846666620,Hz,-65.01
846999953,Hz,-66.01
847333286,Hz,-63.9
847666619,Hz,-64.17
847999952,Hz,-65.16
848333285,Hz,-64.52
848666618,Hz,-65.51
848999951,Hz,-65.64
849333284,Hz,-62
849666617,Hz,-55.37
849999950,Hz,-51.74
850333283,Hz,-51.7
850666616,Hz,-51.27
850999949,Hz,-53.69
851333282,Hz,-63.42
851666615,Hz,-65.23
851999948,Hz,-66.27
852333281,Hz,-65.78
852666614,Hz,-65.81
852999947,Hz,-65.35
853333280,Hz,-64.53
853666613,Hz,-64.45
