Trace1,,
Freq,,Amp
800000000,Hz,-54.37
800333333,Hz,-53.22
800666666,Hz,-54.02
800999999,Hz,-55.89
801333332,Hz,-63.02
801666665,Hz,-65.4
801999998,Hz,-64.61
802333331,Hz,-63.79
802666664,Hz,-64.97
802999997,Hz,-65.12
803333330,Hz,-64.81
803666663,Hz,-64.55
803999996,Hz,-64.48
804333329,Hz,-62.83
804666662,Hz,-57.92
804999995,Hz,-54.89
805333328,Hz,-55.05
805666661,Hz,-55.53
805999994,Hz,-57.01
806333327,Hz,-63.28
806666660,Hz,-64.59
806999993,Hz,-65.28
807333326,Hz,-65.78
807666659,Hz,-63.96
807999992,Hz,-62.55
808333325,Hz,-65.5
808666658,Hz,-65.28
808999991,Hz,-65.66
809333324,Hz,-63.44
809666657,Hz,-56.94
809999990,Hz,-53.72
810333323,Hz,-53.46
810666656,Hz,-53.89
810999989,Hz,-55.98
811333322,Hz,-63.28
811666655,Hz,-64.71
811999988,Hz,-65.4
812333321,Hz,-65.02
812666654,Hz,-64.27
812999987,Hz,-64.56
813333320,Hz,-64.35
813666653,Hz,-64.47
813999986,Hz,-65.15
814333319,Hz,-58.95
814666652,Hz,-51.47
814999985,Hz,-48.93
815333318,Hz,-48.59
815666651,Hz,-48.88
815999984,Hz,-50.89
816333317,Hz,-59.07
816666650,Hz,-65.25
816999983,Hz,-64.16
817333316,Hz,-65.31
817666649,Hz,-64.42
817999982,Hz,-63.53
818333315,Hz,-64.29
818666648,Hz,-63.51
818999981,Hz,-64.86
819333314,Hz,-56.22
819666647,Hz,-49.72
819999980,Hz,-45.96
820333313,Hz,-45.75
820666646,Hz,-46.29
820999979,Hz,-48.52
821333312,Hz,-57.75
821666645,Hz,-64.37
821999978,Hz,-64.14
822333311,Hz,-64.45
822666644,Hz,-64.47
822999977,Hz,-65.39
823333310,Hz,-65.05
823666643,Hz,-65.55
823999976,Hz,-61.85
824333309,Hz,-56.09
824666642,Hz,-49.16
824999975,Hz,-45.61
825333308,Hz,-45.31
825666641,Hz,-45.84
825999974,Hz,-48.44
826333307,Hz,-57.89
826666640,Hz,-64.19
826999973,Hz,-64.79
827333306,Hz,-65.2
827666639,Hz,-64.64
827999972,Hz,-64.23
828333305,Hz,-65.65
828666638,Hz,-64.75
828999971,Hz,-64.96
829333304,Hz,-55.97
829666637,Hz,-49.22
829999970,Hz,-45.33
830333303,Hz,-45.1
830666636,Hz,-45.72
830999969,Hz,-48.13
831333302,Hz,-58.3
831666635,Hz,-64.92
831999968,Hz,-63.93
832333301,Hz,-63.93
832666634,Hz,-63.71
832999967,Hz,-64.35
833333300,Hz,-63.47
833666633,Hz,-65.78
833999966,Hz,-64.51
834333299,Hz,-55.43
834666632,Hz,-48.9
834999965,Hz,-45.19
835333298,Hz,-44.94
835666631,Hz,-45.54
835999964,Hz,-47.97
836333297,Hz,-58.08
836666630,Hz,-64.93
836999963,Hz,-63.76
837333296,Hz,-65.01
837666629,Hz,-65.1
837999962,Hz,-64.77
838333295,Hz,-64.97
838666628,Hz,-65.35
838999961,Hz,-65.01
839333294,Hz,-56.12
839666627,Hz,-49.56
839999960,Hz,-46.01
840333293,Hz,-45.38
840666626,Hz,-45.97
840999959,Hz,-48.33
841333292,Hz,-58.83
841666625,Hz,-65.35
841999958,Hz,-64.68
842333291,Hz,-64.21
842666624,Hz,-64.65
842999957,Hz,-64.79
843333290,Hz,-63.48
843666623,Hz,-64.84
843999956,Hz,-62.47
844333289,Hz,-58.14
844666622,Hz,-50.35
844999955,Hz,-47.25
845333288,Hz,-46.87
845666621,Hz,-47.52
845999954,Hz,-50.14
846333287,Hz,-58.77
846666620,Hz,-65.07
846999953,Hz,-65.3
847333286,Hz,-65.68
847666619,Hz,-65.04
847999952,Hz,-65.31
848333285,Hz,-65.01
848666618,Hz,-65.3
848999951,Hz,-64.57
849333284,Hz,-60.79
849666617,Hz,-53.73
849999950,Hz,-49.09
850333283,Hz,-49.07
850666616,Hz,-49.73
850999949,Hz,-51.65
851333282,Hz,-61.27
851666615,Hz,-65.81
851999948,Hz,-64.31
852333281,Hz,-63.33
852666614,Hz,-63.83
852999947,Hz,-65.29
853333280,Hz,-64.64
853666613,Hz,-65.19
853999946,Hz,-65.4
854333279,Hz,-62.42
854666612,Hz,-52.72
854999945,Hz,-50.24
855333278,Hz,-50.03
855666611,Hz,-50.23
855999944,Hz,-52.57
856333277,Hz,-61.9
856666610,Hz,-65.7
856999943,Hz,-64.17
857333276,Hz,-63.25
857666609,Hz,-64.03
857999942,Hz,-65.83
858333275,Hz,-65.42
858666608,Hz,-64.87
858999941,Hz,-64.94
859333274,Hz,-60.53
859666607,Hz,-53.76
859999940,Hz,-48.95
860333273,Hz,-49.29
860666606,Hz,-50
860999939,Hz,-52.74
861333272,Hz,-61.85
861666605,Hz,-65.15
861999938,Hz,-63.14
862333271,Hz,-64.48
862666604,Hz,-64.56
862999937,Hz,-64.1
863333270,Hz,-64.83
863666603,Hz,-64.64
863999936,Hz,-64.73
864333269,Hz,-63.33
864666602,Hz,-57.14
864999935,Hz,-54.34
865333268,Hz,-53.32
865666601,Hz,-54.04
865999934,Hz,-56.67
866333267,Hz,-60.47
866666600,Hz,-61.45
866999933,Hz,-63.65
867333266,Hz,-64.47
867666599,Hz,-62.85
867999932,Hz,-63.27
868333265,Hz,-64.68
868666598,Hz,-64.11
868999931,Hz,-63.75
869333264,Hz,-59.83
869666597,Hz,-52.82
