Trace1,,
Freq,,Amp
800000000,Hz,-50.62
800333333,Hz,-49.16
800666666,Hz,-50.08
800999999,Hz,-51.75
801333332,Hz,-61.15
801666665,Hz,-64.49
801999998,Hz,-63.78
802333331,Hz,-65.09
802666664,Hz,-64.39
802999997,Hz,-63.77
803333330,Hz,-65.54
803666663,Hz,-64.79
803999996,Hz,-65.07
804333329,Hz,-58.96
804666662,Hz,-52.06
804999995,Hz,-48.55
805333328,Hz,-48.34
805666661,Hz,-48.78
805999994,Hz,-50.99
806333327,Hz,-59.3
806666660,Hz,-64.61
806999993,Hz,-64.74
807333326,Hz,-64.65
807666659,Hz,-65.52
807999992,Hz,-64.3
808333325,Hz,-64.54
808666658,Hz,-64.98
808999991,Hz,-64.96
809333324,Hz,-56.99
809666657,Hz,-50.76
809999990,Hz,-47.34
810333323,Hz,-47.15
810666656,Hz,-47.76
810999989,Hz,-50.22
811333322,Hz,-58.4
811666655,Hz,-64.32
811999988,Hz,-64.44
812333321,Hz,-64.48
812666654,Hz,-64.17
812999987,Hz,-64.48
813333320,Hz,-65.49
813666653,Hz,-63.13
813999986,Hz,-65.37
814333319,Hz,-55.25
814666652,Hz,-48.47
814999985,Hz,-44.86
815333318,Hz,-44.71
815666651,Hz,-45.43
815999984,Hz,-47.77
816333317,Hz,-57.26
816666650,Hz,-65.15
816999983,Hz,-64.14
817333316,Hz,-63.98
817666649,Hz,-65.29
817999982,Hz,-64.78
818333315,Hz,-64.75
818666648,Hz,-64.6
818999981,Hz,-64.23
819333314,Hz,-53.6
819666647,Hz,-46.02
819999980,Hz,-42.6
820333313,Hz,-42.05
820666646,Hz,-42.7
820999979,Hz,-45.39
821333312,Hz,-55.32
821666645,Hz,-65.1
821999978,Hz,-64.71
822333311,Hz,-65.19
822666644,Hz,-64.2
822999977,Hz,-64.58
823333310,Hz,-65.17
823666643,Hz,-64.89
823999976,Hz,-61.89
824333309,Hz,-53.07
824666642,Hz,-45.64
824999975,Hz,-42
825333308,Hz,-41.58
825666641,Hz,-41.91
825999974,Hz,-44.77
826333307,Hz,-55.06
826666640,Hz,-63.73
826999973,Hz,-65.11
827333306,Hz,-64.79
827666639,Hz,-64.15
827999972,Hz,-63.85
828333305,Hz,-64.88
828666638,Hz,-65.33
828999971,Hz,-64.51
829333304,Hz,-53.91
829666637,Hz,-46.41
829999970,Hz,-42.88
830333303,Hz,-42.71
830666636,Hz,-43.38
830999969,Hz,-45.71
831333302,Hz,-55.39
831666635,Hz,-64.85
831999968,Hz,-64.17
832333301,Hz,-64.76
832666634,Hz,-65
832999967,Hz,-63.07
833333300,Hz,-64.99
833666633,Hz,-65.13
833999966,Hz,-63.39
834333299,Hz,-55
834666632,Hz,-48.11
834999965,Hz,-44.93
835333298,Hz,-44.4
835666631,Hz,-45.24
835999964,Hz,-47.46
836333297,Hz,-56.77
836666630,Hz,-64.27
836999963,Hz,-64.21
837333296,Hz,-64.39
837666629,Hz,-64.99
837999962,Hz,-64.74
838333295,Hz,-64.16
838666628,Hz,-65.33
838999961,Hz,-64.15
839333294,Hz,-56.35
839666627,Hz,-49.55
839999960,Hz,-45.96
840333293,Hz,-45.56
