Trace1,,
Freq,,Amp
800000000,Hz,-32.99
800333333,Hz,-32.73
800666666,Hz,-33.05
800999999,Hz,-35.21
801333332,Hz,-44.53
801666665,Hz,-57.88
801999998,Hz,-63.92
802333331,Hz,-65.19
802666664,Hz,-63.99
802999997,Hz,-65.19
803333330,Hz,-64.48
803666663,Hz,-64.29
803999996,Hz,-57.61
804333329,Hz,-44.64
804666662,Hz,-36.42
804999995,Hz,-32.65
805333328,Hz,-32.43
805666661,Hz,-32.8
805999994,Hz,-35.16
806333327,Hz,-45.36
806666660,Hz,-58.74
806999993,Hz,-63
807333326,Hz,-63.4
807666659,Hz,-65.39
807999992,Hz,-64.31
808333325,Hz,-65
808666658,Hz,-65.06
808999991,Hz,-56.68
809333324,Hz,-44.31
809666657,Hz,-36.28
809999990,Hz,-32.67
810333323,Hz,-32.42
810666656,Hz,-32.98
810999989,Hz,-35.44
811333322,Hz,-45.77
811666655,Hz,-58.74
811999988,Hz,-64.3
812333321,Hz,-64.96
812666654,Hz,-64.5
812999987,Hz,-63.88
813333320,Hz,-64.34
813666653,Hz,-64.66
813999986,Hz,-57.23
814333319,Hz,-44.2
814666652,Hz,-36.35
814999985,Hz,-32.79
815333318,Hz,-32.61
815666651,Hz,-33.1
815999984,Hz,-35.55
816333317,Hz,-45.75
816666650,Hz,-58.39
816999983,Hz,-64.01
817333316,Hz,-65.03
817666649,Hz,-62.27
817999982,Hz,-64.33
818333315,Hz,-63.33
818666648,Hz,-63.33
818999981,Hz,-56.15
819333314,Hz,-42.91
819666647,Hz,-35.16
819999980,Hz,-31.66
820333313,Hz,-31.46
820666646,Hz,-31.85
820999979,Hz,-34.41
821333312,Hz,-44.51
821666645,Hz,-57.56
821999978,Hz,-65.26
822333311,Hz,-64.53
822666644,Hz,-64.61
822999977,Hz,-63.89
823333310,Hz,-64.16
823666643,Hz,-64.33
823999976,Hz,-54.11
824333309,Hz,-41.47
824666642,Hz,-33.58
824999975,Hz,-30.23
825333308,Hz,-29.99
825666641,Hz,-30.44
825999974,Hz,-32.96
826333307,Hz,-43.41
826666640,Hz,-56.22
826999973,Hz,-64.44
827333306,Hz,-64.57
827666639,Hz,-64.47
827999972,Hz,-63.6
828333305,Hz,-62.38
828666638,Hz,-64.37
828999971,Hz,-53.87
829333304,Hz,-40.67
829666637,Hz,-32.81
829999970,Hz,-29.33
830333303,Hz,-29.13
830666636,Hz,-29.6
830999969,Hz,-31.95
831333302,Hz,-42.22
831666635,Hz,-55.51
831999968,Hz,-64.68
832333301,Hz,-64.46
832666634,Hz,-64.06
832999967,Hz,-63.86
833333300,Hz,-64.73
833666633,Hz,-65.43
833999966,Hz,-53.82
834333299,Hz,-40.25
834666632,Hz,-32.43
834999965,Hz,-28.96
835333298,Hz,-28.78
835666631,Hz,-29.23
835999964,Hz,-31.67
836333297,Hz,-42.2
836666630,Hz,-55.58
836999963,Hz,-63.06
837333296,Hz,-64.3
837666629,Hz,-64.96
837999962,Hz,-64.4
838333295,Hz,-63.99
838666628,Hz,-64.09
838999961,Hz,-53.85
839333294,Hz,-40.29
839666627,Hz,-32.41
839999960,Hz,-28.93
840333293,Hz,-28.71
840666626,Hz,-29.2
840999959,Hz,-31.82
841333292,Hz,-42.42
841666625,Hz,-55.69
841999958,Hz,-64.42
842333291,Hz,-64.4
842666624,Hz,-64.52
842999957,Hz,-64.54
843333290,Hz,-64.56
843666623,Hz,-64.28
843999956,Hz,-55.11
844333289,Hz,-41.32
844666622,Hz,-33.15
844999955,Hz,-29.79
845333288,Hz,-29.61
845666621,Hz,-30.1
845999954,Hz,-32.58
846333287,Hz,-43.2
846666620,Hz,-56.73
846999953,Hz,-63.65
847333286,Hz,-63.95
847666619,Hz,-63.52
847999952,Hz,-64.23
848333285,Hz,-63.77
848666618,Hz,-62.97
848999951,Hz,-55.71
849333284,Hz,-43.4
849666617,Hz,-34.95
849999950,Hz,-30.91
850333283,Hz,-30.65
850666616,Hz,-31.07
850999949,Hz,-33.3
851333282,Hz,-43.19
851666615,Hz,-56.74
851999948,Hz,-64.79
852333281,Hz,-64.38
852666614,Hz,-65.38
852999947,Hz,-63.29
853333280,Hz,-63.86
853666613,Hz,-64.26
853999946,Hz,-57.72
854333279,Hz,-43.83
854666612,Hz,-35.61
854999945,Hz,-31.98
855333278,Hz,-31.88
855666611,Hz,-32.42
855999944,Hz,-34.73
856333277,Hz,-45.34
856666610,Hz,-57.73
856999943,Hz,-64.75
857333276,Hz,-64.78
857666609,Hz,-64.8
857999942,Hz,-65.3
858333275,Hz,-63.84
858666608,Hz,-63.1
858999941,Hz,-57.03
859333274,Hz,-44.81
859666607,Hz,-36.78
859999940,Hz,-33.18
860333273,Hz,-33.06
860666606,Hz,-33.42
860999939,Hz,-36.03
861333272,Hz,-46.61
861666605,Hz,-59.64
861999938,Hz,-63.88
862333271,Hz,-62.18
862666604,Hz,-59.66
862999937,Hz,-58.81
863333270,Hz,-59.72
